08.10.2024                                                                                                                         Dynamic List Display                                                                                                                                                                                   1
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Order     |Mn.wk.ctr|Description                             |Room    |Bsc start |Basic fin.|User Status   |Revision|System status                           |Plan Date |Type|Equipment |Created On|Functional Location           |Description of technical object         |Cost Ctr |Act. start|Actual end| PlanTotCos|MntPlan|MntItem|
|  4000185953|PMELECT  |Low pressure alarm on the fire protectio|        |28.09.2024|28.09.2024|PRCO RFEX     |Z280924 |REL  GMPS MANC PRC  SETC                |          |ZM01|          |27.09.2024|TOR0B89                       |                                        |CA02T0043|          |          |  1,087.81 |       |       |
|  4000186273|PMCARCON |B00 Snow removal for 2024 Season.       |        |30.09.2024|30.09.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |ZM01|          |30.09.2024|TOR0B00-BUI001                |                                        |CA02T0101|          |          | 25,000.00 |       |       |
|  4000186287|PMPLMCON |I00 Production Vessels passivation      |        |27.09.2024|27.09.2024|PRCO          |        |REL  NMAT PRC  SETC                     |          |ZM01|          |30.09.2024|TORB100                       |                                        |CA02T0111|          |          |100,000.00 |       |       |
|  4000186302|PMMACCON |SCA0566 Fluctuating in rm 256           |        |25.09.2024|25.09.2024|PRCO          |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|          |30.09.2024|TOR0B90                       |                                        |CA02T0167|          |          |  1,830.00 |       |       |
|  4000186328|PMCARCON |B93 South Fire door repair              |        |30.09.2024|30.09.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |ZM01|          |30.09.2024|TOR0B93-BUI001                |                                        |CA02T0091|          |          |    961.30 |       |       |
|  4000186439|PMMACCON |Culture leaking into Cyclone            |        |01.10.2024|          |PRCO RFEX     |        |REL  GMPS MANC PRC  SETC                |          |ZM02|TORCEN0081|01.10.2024|TOR0B89-DSP003-CEN0001        |CENTRIFUGE                              |CA02T0043|          |          | 10,784.80 |       |       |
|  4000186495|PMPLUMB  |Repair Drains in Room 1405              |        |19.09.2024|19.09.2024|PRCO          |REPORT  |REL  NMAT PRC  SETC                     |          |ZM01|          |01.10.2024|TOR0B92-BUI001                |                                        |CA02T0024|          |          |  1,552.00 |       |       |
|  4000186522|PMELECT  |Electrical Wiring PIN damaged           |2331    |01.10.2024|01.10.2024|PRCO          |        |REL  MACM PRC  SETC                     |          |ZM01|TORCHR1084|01.10.2024|TORB100-CHU001                |PERLITE CHROMATOGRAPHY SKID 2           |CA02T0111|          |          |  2,692.40 |       |       |
|  4000186524|PMMECEXT |Insulation repair                       |2331    |04.10.2024|04.10.2024|PRCO RFEX     |        |REL  CSER MANC NMAT PRC  SETC           |          |ZM01|TORTNK2112|01.10.2024|TORB100-CHU010-TAN0001        |SLURRY TANK SKID 2                      |CA02T0111|          |          |    470.00 |       |       |
|  4000186531|PMMACCON |I00 Chemical injection stations         |        |01.10.2024|01.10.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |ZM01|          |01.10.2024|TORB100                       |                                        |CA02T0111|          |          | 24,900.00 |       |       |
|  4000186534|PMMACCON |I00 corroded and rusted pipe replace    |        |01.10.2024|01.10.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |ZM01|          |01.10.2024|TORB100                       |                                        |CA02T0111|          |          | 30,435.00 |       |       |
|  4000187526|PMCARCON |B93 Basement Mechanical room double door|        |02.10.2024|02.10.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |ZM01|          |03.10.2024|TOR0B93-BUI001                |                                        |CA02T0091|          |          |  5,651.25 |       |       |
|  4000187541|PMMACCON |I00 fabricate and install the pump cover|        |04.10.2024|04.10.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |ZM01|          |03.10.2024|TORB100                       |                                        |CA02T0111|          |          |  4,750.00 |       |       |
|  4000188471|PMMACCON |Service Call - B-90                     |        |05.10.2024|05.10.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |ZM01|          |04.10.2024|TOR0B90                       |                                        |CA02T0167|          |          |  2,921.69 |       |       |
|  4000188472|PMMACCON |Door 303 - Service Call                 |        |01.10.2024|01.10.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |ZM01|          |04.10.2024|TOR0B90                       |                                        |CA02T0167|          |          |    478.70 |       |       |
|  4000188476|PMMACCON |B90 Freezer Door                        |        |01.10.2024|01.10.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |ZM01|          |04.10.2024|TOR0B90                       |                                        |CA02T0167|          |          |  1,131.21 |       |       |
|  4000188477|PMMACCON |B90 Door 1050 and 1052 Service Call     |        |01.10.2024|01.10.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |ZM01|          |04.10.2024|TOR0B90                       |                                        |CA02T0167|          |          |    621.10 |       |       |
|  4000188578|PMELECON |Oct Additional Maintenance coverage     |        |01.10.2024|01.10.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |ZM08|          |04.10.2024|TOR0B00                       |                                        |CA02T0091|          |          |  8,200.00 |       |       |
|  4000189043|PMMACCON |Refurbish Telescopic Cart               |        |04.10.2024|04.10.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |ZM01|          |07.10.2024|TOR0B90                       |                                        |CA02T0167|          |          |    695.00 |       |       |
|  4000189228|PMMACCON |B60Hoarding Loading R212 Side of AUT1121|        |03.10.2024|03.10.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |ZM01|          |07.10.2024|TOR0B60-BUI001                |                                        |CA02T0090|          |          |    281.75 |       |       |
|  4000189237|PMBAS    |B94-HVAC CONTROL                        |        |05.10.2024|05.10.2024|PRCO RFEX     |Z051024 |REL  MANC MOBI PRC  SETC                |          |ZM01|          |07.10.2024|TOR0B94-BUI001                |                                        |CA02T0028|          |          |    856.08 |       |       |
|  4000189273|PMMACHI  |I00 replace this Sharpe mixer gear box  |        |07.10.2024|07.10.2024|PRCO RFEX     |        |REL  PRC  SETC                          |          |ZM01|          |07.10.2024|TORB100                       |                                        |CA02T0111|          |          |    562.39 |       |       |
|  4000117934|PMHVACON |PM-HVCON, AHU1172                       |        |01.04.2024|30.04.2024|PRCO ERAP RFEX|20042024|TECO CNF  PRT  GMPS MANC NMAT PRC  SETC |01.04.2024|ZM03|TORAHU1172|03.12.2023|TOR0B91-HVA004-AHU0002        |Air Handling Unit - Engineered Air Custo|CA02T0067|01.04.2024|25.04.2024|  1,482.00 |2830   |12657  |
|  4000140167|PMHVAC   |PM-HVAC, EXF1225                        |1339    |01.08.2024|30.10.2024|PRCO ERAP RFEX|28092024|TECO CNF  JBFI MANC MOBI NMAT PRC  SETC |01.08.2024|ZM03|TOREXF1225|03.04.2024|TOR0B92-MEF007-XXX0001-EXF0002|EXHAUST FAN                             |CA02T0049|19.08.2024|11.09.2024|    898.00 |74317  |10203  |
|  4000143826|PMMACCON |PM-MACON, DOR1009                       |NE CORN |01.09.2024|30.09.2024|PRCO ERAP RFEX|REPORT  |TECO CNF  GMPS JBFI MANC NMAT PRC  SETC |01.09.2024|ZM03|TORDOR1009|04.05.2024|TOR0B81-BUI001-DOO0001        |DOOR_ NORTHEAST OVERHEAD                |CA02T0028|01.09.2024|27.09.2024|    925.00 |2899   |12949  |
|  4000143828|PMMACCON |PM-MACON, DOR1053                       |        |01.09.2024|30.09.2024|PRCO ERAP RFEX|21092024|TECO CNF  GMPS JBFI MANC NMAT PRC  SETC |01.09.2024|ZM03|TORDOR1053|04.05.2024|TOR0B89-BUI003-DOO0001        |Door, Dock                              |CA02T0091|01.09.2024|20.09.2024|    540.00 |2899   |12951  |
|  4000143845|PMMACCON |PM-MACON, DLE1035                       |DOCK    |01.09.2024|30.09.2024|PRCO ERAP RFEX|CANCEL  |TECO CNF  MANC NMAT PRC  SETC           |01.09.2024|ZM03|TORDLE1035|04.05.2024|TOR0B53-MNT001-DOL0001        |DOCK, LEVELLER                          |CA02T0159|01.09.2024|19.09.2024|    430.00 |2899   |12962  |
|  4000143986|PMMACCON |PM-MACON, WAS1084                       |238     |01.09.2024|30.09.2024|PRCO ERAP RFEX|REPORT  |TECO CNF  PRT  GMPS JBFI MANC NMAT PRC *|01.09.2024|ZM03|TORWAS1084|04.05.2024|TOR0B94-EQP002-WAM0001        |WASHER, CAGE/RACK                       |CA02T0028|01.09.2024|27.09.2024|  4,063.00 |3213   |13722  |
|  4000144079|PMHVAC   |PM-HVAC, SAS1089                        |2500    |01.09.2024|30.09.2024|PRCO ERAP RFEX|21092024|TECO CNF  GMPS JBFI MANC PRC  SETC      |01.09.2024|ZM03|TORSAS1089|04.05.2024|TOR0B92-HVA004-AHU0002        |AIR HANDLING UNIT_ STERILE              |CA02T0031|01.09.2024|24.09.2024|  4,308.33 |74331  |10867  |
|  4000144098|PMMACHI  |PM-MACHI, B92 INSPECTION FOR DOOR       |        |01.09.2024|30.09.2024|PRCO ERAP RFEX|21092024|TECO CNF  MANC MOBI NMAT PRC  SETC      |01.09.2024|ZM03|          |04.05.2024|TOR0B92                       |                                        |CA02T0048|01.09.2024|27.09.2024|  3,000.00 |2976   |13239  |
|  4000144270|PMSTMCON |PM-STCON, AUT1123 (SPS)                 |ANNEX108|01.09.2024|30.09.2024|PRCO ERAP RFEX|14092024|TECO CNF  PRT  GMPS JBFI MANC NMAT PRC *|01.09.2024|ZM03|TORAUT1123|06.05.2024|TOR0B60-USP001-AUT0001        |AUTOCLAVE, KULMAN                       |CA02P0010|01.09.2024|26.09.2024|  1,960.00 |2779   |12308  |
|  4000152193|PMHVACON |PM-HVCON, SAS1121                       |        |01.10.2024|30.10.2024|PRCO RFEX     |19102024|REL  MANC NMAT PRC  SETC                |01.10.2024|ZM03|TORSAS1121|03.06.2024|TOR0B91-HVA001-AHU0001        |Sterile Air Supply - Engineered Air Cust|CA02T0026|          |          |  1,708.00 |2791   |12449  |
|  4000142950|PMMETRO  |METRO, 300015958 TOC Intr               |1405    |01.08.2024|30.09.2024|PRCO RFEX     |        |TECO CNF  GMPS ILAS JBFI MANC PRC  SETC |23.10.2024|ZM05|300015958 |26.04.2024|TOR0B92-WFS002-XXX0001-TOC0001|ANALYZER_TOC                            |CA02T0048|01.08.2024|30.08.2024|  4,361.34 |66358  |84006  |
|  4000165686|PMMACHI  |PM-MACHI, TORFER0048 (6M)               |        |01.11.2024|30.11.2024|PRCO          |        |REL  CSER MSPT PRC  SETC                |01.11.2024|ZM03|TORFER0048|04.07.2024|TOR0B89-BIO002-FER0005        |FERMENTER                               |CA02T0043|          |          |  6,135.59 |73039  |90804  |
|  4000174147|PMMACHI  |PM-MACHI, TORFER0049 (6M)               |        |01.11.2024|30.11.2024|PRCO          |        |REL  CSER MACM PRC  SETC                |01.11.2024|ZM03|TORFER0049|10.08.2024|TOR0B89-BIO002-FER0006        |FERMENTER                               |CA02T0043|          |          |  6,135.59 |73040  |90805  |
|  4000175715|PMMETRO  |PMMETRO, 300023089 VHP                  |131     |01.02.2025|02.03.2025|PRCO RFEX     |        |REL  GMPS ILAS MANC NMAT PRC  SETC      |01.02.2025|ZM05|300023089 |16.08.2024|TOR0B93-VHP005                |SYSTEM_ VHP DECOMTAMINATION             |CA02P0009|          |          | 11,958.87 |83395  |125525 |
|  4000175716|PMMETRO  |PMMETRO, 300018106 VHP                  |131     |01.02.2025|02.03.2025|PRCO RFEX     |        |REL  GMPS ILAS MANC NMAT PRC  SETC      |01.02.2025|ZM05|300018106 |16.08.2024|TOR0B93-VHP004                |SYSTEM_ VHP DECOMTAMINATION             |CA02P0009|          |          | 11,958.87 |83396  |125526 |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
